ICD Block Names,Title,Research Summary,Inclusion Criteria
Aplastic and other anaemias,Phase I study of transfer of effector memory T cells (Tem) following allogeneic stem cell transplantation.,"Healthy bone marrow produces blood cells, including infection-fighting immune cells. These blood cells originate from stem cells. In cancer, the bone marrow can no longer function properly. To restore healthy blood cell production and to fight the cancer, some patients are given healthy stem cells from a donorâs bone marrow. Although this can cure many patients, it can have serious side effects, including âgraft versus host diseaseâ (GvHD). This happens because the bone marrow contains donor immune cells (the âgraftâ) that see the patientâs healthy cells (the âhostâ) as foreign and attacks them. It mainly affects the tissues of the skin, the liver and the gut and can be life threatening. Drugs that prevent GvHD by suppressing the donorâs immune cells in the patientâs body renders the immune system weak and unable to fight infections. These infections are sometimes very severe and can lead to patients dying.     This trial aims to find out if giving patients additional infection fighting immune cells from the donor (Tem cells) will reduce their chance of getting an infection without causing GvHD.    Patients will receive additional donor immune cells about one month after the transplant. They will also receive the standard GvHD prevention treatment. Different doses of the donor immune cells will be given to individual patients to work out which dose is best. All patients will be closely monitored for signs of GvHD or infection. They will also have blood tests to determine how well and quickly their immune systems recover. Patients will be followed up for 12 months post treatment.    The study will recruit a maximum of 18 patients. The study will be conducted at NHS hospitals and is expected to last 22 months.","Patient:  - Severe aplastic anaemia or  - Primary immune deficiency or  - Haematological cancer which can be ONE OF the following:     o Non-Hodgkinâs lymphoma (NHL) in CR or PR;     o Hodgkinâs lymphoma (HL) in CR or PR;     o Chronic (Pro-)lymphocytic leukaemia (CLL or PLL) in CR or PR     o Plasma cell myeloma (PCM) in CR, VGPR or PR;     o Acute myeloid leukaemia (AML) in CR;     o Acute lymphoblastic leukaemia (ALL) in CR;     o Myelodysplastic syndrome (MDS) <  10 % blasts in bone marrow;     o Chronic myelomonocytic leukaemia (CMML) <  10% blasts in bone marrow  - Have undergone disease reassessment within 8 weeks prior to registration  - Suitable for HLA-identical sibling transplant using a standard alemtuzumab-based conditioning regimen with calcineurin-inhibitor based immunoprophylaxis  - Aged > =  16 years, < 70 years  - Written informed consent     Donor:  - Aged > =  16 years  - HLA-identical sibling  - Have met transplant centre criteria regarding suitability for cell therapy donation  - Negative for HIV 1 and 2, hepatitis B, hepatitis C, HTLV-1 and 2, syphilis serology  - Written informed consent"
Aplastic and other anaemias,"Project Aura: Co-design of a home monitoring solution for patients with anaemia of chronic kidney disease, carers and healthcare professionals to optimise delivery of treatment","The study is sponsored by Entia and funded by Innovate UK. This project is a co-design initiative between the investigator team, patients, carers, and health professionals at Hull University Teaching Hospitals NHS Trust.    Entia, in partnership with Hull University Teaching Hospitals NHS Trust will develop a patient monitoring solution to optimise delivery of specialist care.  As a part of this service, a medical device will be co-designed which is capable of performing a haemoglobin and haematocrit measurement from a small amount of blood. We hope through this technology to improve the experience of receiving treatment for patients and their carers whilst helping healthcare professionals to plan and manage the care of patients undergoing ESA therapy.    In order to ensure a user-friendly design that meets end user needs, we propose to develop the solution using a co-design model. Patients and carers, along with healthcare professionals and innovators, are all partners in this design process. The co-design process will cover the development of the device, the test and any supporting technology or material if necessary. Participants will be directly involved in bringing a fully functional, innovative service to the market that will improve patients quality of life and aid healthcare professionals when managing anaemia. Entia has led co-design studies previously and will have an active input in the workshops.","For patients  - Age > =  16 years of age  - Adequate English to participate in focus group interview without an interpreter  - Patients of the study site who are currently undergoing treatment for anaemia of chronic kidney disease (CKD)  - Patients should be willing to participate in at least 60-minute and ideally 90-minute focus group discussion at the designated study location, time and date.  - The participant needs to be capable of providing consent or have a suitable, legally acceptable representative present to provide consent before the focus group interview.    For carers  - Should be the nominated primary carer of a CKD patient who fulfils the inclusion criteria, this includes parents of affected children  - Should be willing to participate in at least a 60-minute and ideally 90-minute focus group discussion at the designated study location, time and date.  - Carers can participate in the study without the patient also being involved  For healthcare professionals  - All clinicians need to be current employees of the study site  - Doctors need to be employed at Specialist Registrar, Fellow or Consultant Level  - Nurses of all grades are invited to participate but ideally need to have had some involvement in the outpatient care of CKD patients"
Aplastic and other anaemias,Project Aura: Data collection for a home monitoring solution for patients with anaemia of chronic kidney disease to optimise delivery of treatment,"This project is a data collection study to collect haemoglobin, haematocrit and blood pressure data over the course of 6 months, following patients with chronic kidney disease.    The aim of the study is to inform the feasibility of the solution and establish the frequency of self-testing needed for the system.",- Age > =  18 years of age.  - Adequate english to participate in training sessions and use the analyser.  - Patients of the study site who are currently undergoing treatment for anaemia of CKD with ESAs.  - Willing to perform self-tests 2-3 times a week.  - Capable of providing informed consent before attending training.
Arthropod-borne viral fevers and viral haemorrhagic fevers,Evaluating the Long Term Immunogenicity of  Ebola Virus Vaccines Ad26-ZEBOV and MVA-BN-Filo,"This study proposes to investigate whether the immune response generated following vaccination with various prime boost regimes of the Ad26-ZEBOV and MVA-BN-Filo Ebola vaccines is preserved in the long-term. In this study, we aim to assess persistence of humoral and cellular immunity between 24 and 30 months and 36 to 42 months from the date a participant received their prime vaccine.    The humoral response will be assessed by estimating the neutralizing IgG antibodies to the Ebola GP using an in-house ELISA technique. The cellular immune response will be assessed by assessing pro-inflammatory cytokine release by CD8+ and CD4+ T cells using staining techniques on a multicolour flow cytometer platform.     We will also carry out additional tests for cellular immunity, such as IFN-gamma release by Ebola-specific GP-specific T cells by the ELISpot assay. We will store the remaining PBMCs under appropriate conditions for this purpose.","Willing and able to give informed consent for participation in the study  -Male or female, aged 18 or above.  -Subject must have received both vaccines in the phase I trial (14/SC/1408).  -Agree to allow his or her GP (and/or consultant, if appropriate) to be notified of participation in the study if required."
Arthropod-borne viral fevers and viral haemorrhagic fevers,A phase I study to determine the safety and immunogenicity of the candidate Chikungunya Virus (CHIKV) vaccine ChAdOx1 Chik in healthy adult volunteers,"The purpose of this study is to test a new vaccine against the Chikungunya Virus (CHIKV) in healthy volunteers.   Chikungunya fever is a disease caused by CHIKV and it is transmitted to humans through a mosquito bite.  It has been identified in over 100 countries, causing approximately 1 million cases  worldwide. The disease typically consists of an acute illness characterised by fever, skin rash, muscle aches and severe joint pains (which are often incapacitating), lasting weeks to months.  There are currently no available treatments or licensed vaccines and strategies tackling the control of the mosquito are extremely difficult to implement. Fatal cases are rare, but they have been observed in new-born and elderly individuals, as well as in those with medical conditions such as diabetes or cardiovascular, respiratory, and neurologic disorders     The study will enable us to assess the safety of the new vaccine called ChAdOx1 Chik and the extent of the immune response in healthy volunteers. We will do this by giving participants one dose of the vaccine in addition to doing blood tests and collecting information about any symptoms that occur after vaccination. In this study, healthy adult volunteers will receive a single dose of a new candidate vaccine at different doses. The objective of this first-in-human study is to find the optimal dose of the vaccine, balancing immune responses and profile of adverse events.  Healthy volunteers aged 18-50 will be recruited in Oxford and vaccinated at the Centre for Clinical Vaccinology and Tropical Medicine and will be followed for a period of 6 months. The study is funded by the UK innovation agency - Innovate UK and the Department of Health.","The volunteer must satisfy all the following criteria to be eligible for the study:    1. Healthy adults aged 18 to 50 years   2. Able and willing (in the Investigatorâs opinion) to comply with all study requirements  3. Willing to allow the investigators to discuss the volunteerâs medical history with their  General Practitioner  4. For females only, willingness to practice continuous effective contraception (see below) during the study and a negative pregnancy test on the day(s) of screening and vaccination  5. Agreement to refrain from blood donation during the course of the study  6. Provide written informed consent"
Arthropod-borne viral fevers and viral haemorrhagic fevers,Vaccine immunogenicity using tuberculosis and dengue fever as models,"It is estimated that in 2015, 10.4 million people were infected with tuberculosis. Dengue Fever infects an estimated 390 million people each year. The current vaccine against TB, the BCG vaccine, and the Dengvaxia vaccine against dengue, only offer partial protection. New vaccines against TB and dengue are urgently needed.   We are testing the effectiveness of new vaccines against tuberculosis and Dengue Fever.  For this project we use tonsils maintained in the laboratory to mimic immune system. These tonsils are used as a platform for testing new vaccines. Human tissue from tonsils is a good model of the complex interactions required to control infectious diseases.   Mice are usually used to test new vaccines. Unfortunately, mice and humans mount different immune responses against tuberculosis. This work will test whether cell lines and human tissue could be a useful alternative to the use of animals in experiments.  Vaccines work by stimulating the immune responses. All vaccines generate different immune responses. To determine which vaccines will be protective, we are measuring the activation of immune cells. We are also monitoring the production of cytokines, which cells use to signal to each other. We are gathering information on the levels of antibody generated by each vaccine. We also measure the survival of immune cells and the elimination of Tuberculosis bacteria.  Testing these parameters for all the vaccines currently in development should allow us to select the most effective new vaccines.","Patients undergoing tonsillectomy, adenoidectomy or uvulopalatopharyngoplasty, as treatment for breathing problems, obstructive sleep apnoea, inflamed tonsils, cancer of the tonsils will be considered potential participants. The age and sex of the patient will not be relevant to this study."
Arthropod-borne viral fevers and viral haemorrhagic fevers,Investigating Selective Infection of Glioma Stem Cells by Zika Virus,"We seek permission to analyse surplus specimens resected at craniotomy. We will first separate the tumour into single cells before infecting these specimens with Zika virus tagged with a marker so we can see which cells are infected by it. Following this we will use techniques to characterise the target cell for the virus. We also plan to infect tumour slices for staining.    No additional tissue will be removed from the patient and only tissue surplus to the needs for pathological analysis will be used. Fragments of tissue will  include:  a) Normal brain tissue resected by necessity in the course of the approach to the lesion  b) Lesion margins  c) Lesion bulk  These tissue types may be obtained directly from the surgical field, or indirectly by collecting the waste products from the ultrasonic tissue ablation apparatus used at operation.",Neurosurgery for intrinsic brain tumour necessitating resection.
Arthropod-borne viral fevers and viral haemorrhagic fevers,Evaluating the Long Term Immunogenicity of Ad / MVA Ebola Virus Vaccines following late boosting with AD26.ZEBOV vaccine administered after heterologous prime/boost schedules of adenoviral and MVA vectored Ebola vaccines: an open-label clinical trial,"This study will evaluate the duration of the immune response of a late booster dose of a vaccine against Ebola Virus Disease (EVD), AD26.ZEBOV, in healthy adults previously immunised with investigational Ebola vaccine schedules. This will generate data crucial to the understanding of persistence of immunity after initial immunisation, and whether a late booster dose confers additional benefit in long term persistence of immunity. These data are critical in informing the potential for the investigational vaccines schedules to provide sustained immunity to those at ongoing risk of EVD (e.g. health care workers) and whether this can be significantly altered by the additional dose of AD26.ZEBOV.    To achieve this, participants who have completed previous Phase 1 and 2 Ebola  vaccine studies in the UK including EBL01 (REC 14/SC/1256), EBL04 (REC 15/SC/0108) and EBL05 (REC 15/SC/0267) led by the Oxford Vaccine Centre, will be invited to participate in these âfollow-onâ studies, in which blood tests will be taken at 2 to 5 years after initial immunisation. Participants who are willing to take part in the follow-on study will be invited to receive a booster dose of AD26.ZEBOV, but this is not a requirement of participation. Blood tests will be taken 7 days and 1 month after AD26.ZEBOV in those receiving the booster dose with this vaccine. All participants having a further blood test at one year after enrolment, allowing us to evaluate the persistence of vaccine induced immunity with and without a late booster dose of AD26.ZEBOV. Antibody and cellular immune response will be evaluated at laboratories in Oxford.    This study will recruit at the Oxford Vaccine Group and at the clinical research facility, Imperial College. The study is funded by Innovate UK.","â¢ Participants must have completed an immunisation schedule in one of the following Ebola vaccine studies; EBL01 (REC14/SC/1256), EBL04 (REC 15/SC/0108) and EBL05 (REC 15/SC/0267).  â¢ Willing and able to give written informed consent for participation in the study  â¢ In good health as determined by medical history, physical examination and clinical judgement of the investigators  â¢ Females of childbearing potential: willing to use effective contraception (the oral contraceptive pill, contraceptive implant, contraceptive injection, intrauterine device, intrauterine hormone-releasing systems (IUS) barrier methods, vasectomized partner or abstinence) from one month prior to three months after the vaccine. Vaccination will be delayed in female participants who have not used effective contraception for one month prior to Visit 1*  â¢ Able to attend the scheduled visits and to comply with all study procedures, including internet access for the recording of diary cards*  â¢ Willing to allow his or her General Practitioner to be notified of participation in the study  â¢ Agree to be registered on the Trial Over-Volunteering Prevention Service (TOPS) and agree to provide their National Insurance number or passport number (if not a British citizen) for the purposes of registration*  â¢ Agree to provide National Insurance number and Bank details for reimbursement purposes    * Participants intending to receive booster dose only"
Arthropod-borne viral fevers and viral haemorrhagic fevers,A phase I study to determine the safety and immunogenicity of the candidate Zika Virus (ZIKV) vaccine ChAdOx1 Zika in healthy adult volunteers given as a stand alone vaccine or co-administered with the Chikungunya Virus (CHIKV) candidate vaccine ChAdOx1 Chik.,"The purpose of this study is to test a new vaccine against the Zika Virus (ZIKV) in healthy volunteers given on its own and at the same time as another new vaccine against Chikungunya Virus (CHIKV).  Zika is a disease caused by ZIKV and can be transmitted to humans through a mosquito bite, from a pregnant woman to their unborn child and it can also be sexually transmitted. Symptoms of Zika infection include fever, headache, joint & muscle pains, tiredness and skin rashes, but most people wonât have any symptoms at all. The disease is now known to be associated with major neurological complications, especially in new-borns, with lifelong consequences.    It became well-known after the World Health Organization (WHO) declared the Zika epidemic a Public Health Emergency of International Concern, following the rapid spread of the disease from Latin America in 2016 where several birth defects were associated with Zika infection. More than 85 countries have now reported Zika cases and the disease continues to spread globally. Zika is now part of the WHO list of priority diseases lists for accelerated vaccine research.    Chikungunya fever is a disease caused by CHIKV and it is transmitted to humans through a mosquito bite. It has been identified in over 100 countries in Asia, Africa, Europe, Oceania and the Americas. The disease typically consists of an acute illness characterised by fever, skin rash, muscle aches and severe joint pains (which are often incapacitating), lasting weeks to months or in rare cases, years. CHIKV is listed as priority virus by the UK Vaccine Network and the US National Institute of Allergy and Infectious Diseases. It has also been designated as a serious condition requiring action by the WHO to promote Research and Development to control future outbreaks.    There are currently no available specific treatments or licensed vaccines for any of these 2 diseases. The same type of mosquito is involved in the transmission of ZIKV and CHIKV and strategies tackling the control of the mosquito are extremely difficult to implement. The development of new vaccines is the most cost-effective way to fight Zika and Chikungunya.    The study will enable us to assess the safety of new vaccines called ChAdOx1 Zika and ChAdOx1 Chik and the extent of their immune responses in healthy volunteers. We will do this by giving participants a single dose of either one (Zika) or both vaccines (Zika and Chikungunya), in addition to doing blood tests and collecting information about any symptoms that occur after vaccination. This is the first trial to use this Zika vaccine and the second study to use the Chikungunya vaccine in humans. We plan to recruit a maximum of 66 participants to be vaccinated, where half of them will receive the Zika vaccine only and the other half will receive both vaccines.    Healthy volunteers aged 18-50 will be recruited in Oxford and vaccinated at the Centre for Clinical Vaccinology and Tropical Medicine and will be followed for a period of 12 months. The study is funded by the UK Department of Health & Social Care and Innovate UK.","The volunteer must satisfy all the following criteria to be eligible for the study:  1. Healthy adults aged 18 to 50 years  2. Able and willing (in the Investigatorâs opinion) to comply with all study requirements  3. Willing to allow the investigators to discuss the volunteerâs medical history with their  General Practitioner  4. Women of child-bearing potential agree to practice continuous effective  contraception (see below) during the study and test negative for pregnancy on the  day(s) of screening and vaccination.  5. Agreement to refrain from blood donation during the course of the study  6. Agreement to inform study team of any impending vaccinations either before or  during participation in the study.  7. Agreement to refrain from receipt of any flavivirus vaccine throughout the duration  of the study (e.g. investigational or licensed Yellow Fever, Japanese Encephalitis, Tick  Borne Encephalitis or Dengue virus vaccines).  8. Provide written informed consent"
Arthrosis,Safety and Feasibility Evaluation of Tourniquets for Total Knee Replacement Study,The majority of surgeons perform Total Knee Replacement surgery with the aid of a tourniquet. The tourniquet interrupts the blood supply and drainage from the leg and helps to create a bloodless field. A tourniquet may however increase a patientsâ risk of developing a blood clot. At the end of surgery the tourniquet is deflated and blood clots that may have accumulated in the leg are immediately free to flow (embolise) within the blood stream. In some cases blood clots and debris can return to the heart where they are then free to travel to the brain.  The potentially increased risk of clots and debris in the brain associated with using a tourniquet has never been examined with any definitive randomised controlled trials (RCTs) and it is unclear if such a RCT would even be feasible. A feasibility study is therefore planned and will comprise three parts:  i. Pilot randomised controlled trial. Patients due for TKR surgery will invited to take part in a pilot trial and randomised to surgery with or without a tourniquet with a view to recruiting 50 patients. All patients will undergo a Magnetic Resonance (MR) imaging scan of their brain before and after surgery to look for evidence of clots and debris in the brain. Other potentially important outcomes including knee pain and function within 12 months will also be collected.  ii. Integrated qualitative research study. An interview study of around 30 patients and around 20 surgeons will capture the views and opinions of both groups regarding the acceptability of the pilot trial.  iii. Retrospective multi-centre cohort study. A study of an existing database of TKR surgery in England and Wales (National Joint Registry-NJR) will be undertaken. The data will be mapped to other existing databases of deaths and hospital reported blood clots.,All patients undergoing an elective primary unilateral cemented total knee replacement (TKR) under the care of four orthopaedic consultants at University Hospitals Coventry and Warwickshire (UHCW) NHS trust are potentially eligible to take part in the pilot RCT.
Arthrosis,The Development of New Classification Criteria for Hand Osteoarthritis,"The purpose of this study is to develop a new criteria for distinguishing patients with hand osteoarthritis from other  conditions based on their symptoms and/or x-ray findings. This is a multi-center international study. 200 participants  older than 18 years in age, 100 with hand osteoarthritis and 100 with hand complaints not due to osteoarthritis will be  recruited in nine hospitals worldwide. Twenty-four participants will be recruited in Nottingham, UK. Patients will attend  for a single visit at which they will give information about their joint symptoms, and have examination of their joints.  Blood tests for measuring inflammation and hand radiographs will be performed if this has not been done in the  previous six months. Photograph of both hands will be taken. We anticipate the study visit to take approximately one  hour. The patients' symptoms will be scored on a 1 to 10 scale by a rheumatologist as to whether they are related to  hand osteoarthritis or not. Once data from all participating centers is collected, it will be sent to the main study center  for analysis so that symptoms, signs and x-ray and blood test changes that can differentiate patients with hand  osteoarthritis from other conditions will be identified. Only anonymised information will be sent to the main study  center.     Logistic regression analyses with limited numbers of predictors evaluating which clinical features (independent  variables) discriminate between OA and not OA (dependent variable) using data from 50 patients. A list of potentially  relevant features and categories within each feature for classifying an individual as having (or not having) hand OA will  be developed. The 1000Minds software (www.1000Minds.com) will be used to develop a weighting scheme for these  features with the goal of identifying a set of criteria that provide a range of probability (from 0 to 100%) of hand OA.","Age â¥18 years   Hand symptoms e.g. pain with or without stiffness, restriction of movement due to arthritis for at least six weeks   Diagnosed with OA of hands or any other arthritis affecting their hands   Ability to give informed consent"
Arthrosis,WHISTL:ER. Follow up of hip arthroplasty long term:Effect on Revision,"After a hip replacement, some patients are offered long term follow up of their new joint and others are not.   A follow  up is offered to check the joint for any sign of potential failure.   Many patients appreciate the reassurance but it is not  known if this service, hip arthroplasty surveillance, has any effect on the outcome when a revision of the hip  replacement is needed.   This is a pilot study to examine the effect of hip arthroplasty surveillance on the patient  reported outcome and the cost to the health service after revision of a hip replacement.  The group of patients who will be asked to participate are those about to have an operation to revise a hip  replacement.   It will not include those patients who have an infection in their hip joint.   It will take place in one large  orthopaedic unit over a twelve month period.   Each participant will be asked to complete a questionnaire before they  have their operation, six months after their operation and twelve months after the operation.   Information from the  medical records and from the questionnaires will be used to answer the study question.   The results from the pilot  study will indicate if a larger study is needed in a variety of orthopaedic units.",Adults listed for revision of a primary hip arthroplasty  â¢ Revision of acetabular or femoral or both components of a hip arthroplasty
Arthrosis,Multi -Centre Clinical Study Comparing the Clinical and Patient Reported   Outcomes of the Vanguard XP Knee System to the Vanguard CR Knee System,"Knee replacement surgery is a common treatment for osteoarthritis of the knee. There are  different types of knee replacement systems, or âimplantsâ, that can be used in the surgery. The  research looking at modifications and design changes to these implants is limited. Research is  needed to consider the changing characteristics of the patients who require knee surgery.  Currently there is an increase in demand for knee replacement in a younger and more active  population, who desire less limitation on their activities following knee replacement surgery.  Current knee replacement designs sacrifice one of the main ligaments in the knee, called the  Anterior Cruciate Ligament (ACL). By preserving natural knee structures, such as the ACL, it is  thought that the knee will retain more normal function following surgery.  The Vanguard CR is a commonly used knee replacement, and it sacrifices the ACL. Zimmer  Biomet have developed a new knee replacement implant called the Vanguard XP which keeps all  the main knee ligaments intact. This new design may benefit the younger, more active  population.  ALLIKAT is a research study which will evaluate the early outcomes of the Vanguard XP  compared to the Vanguard CR. Patients will be followed up for 3 years, with information about  complications both during and following the surgery, as well as patient reported outcomes. 200  patients will be randomised to receive either the Vanguard CR or the Vanguard XP, and they will  not know which one they receive. There will also be a smaller group of 60 participants who will  only receive the Vanguard XP. The data from this cohort group will contribute to safety and  efficacy evaluation of the new implant. 260 patients will be recruited in total from 5-6 NHS sites  around the UK.  Non-identifiable data collected from the cohort group combined with the data from those  randomised to the Vanguard XP will contribute to the Beyond Compliance Program which has  been set up in the interest of patients, to support the safe and stepwise introduction of new or  modified medical implants such as joint replacements.",Primary Osteoarthritis of the knee involving one or more compartments of the joint  Intact Anterior and Posterior Cruciate Ligaments  Intact collateral ligaments  Correctable coronal deformity  No more than 15 degrees of fixed flexion deformity
Arthrosis,A Longitudinal study investigating whether Patient Reported Outcome Measures at day of discharge and 3-weeks Post  Total Knee Arthroplasty (TKA) predict outcomes at 12-months post-operatively?,"Title: Early PROMPT Study  Background Approximately 20% of patients are not satisfied after Total knee replacement (Wylde et al, 2011). However,  it remains a challenge to reliably identify the candidates who will do well and who will not following TKA (Lungu et al,  2014a). Studies which have looked at the predictive value of pre-operative factors have not been able to establish clear  guidelines on this issue (Desmeules et al, 2013, Lungu et al 2014b, Wylde et al, 2007). Post-operatively, it appears  the first 12-week period is a critical phase of recovery as pain, function and satisfaction studies have shown that persistent problems remaining at 12-weeks post-operatively are predictive of problems at 1 year (Mitsuyasu et al,  2011Í¾ Williams et al, 2013).   Very few studies have analysed whether there are factors present in the first 6-weeks post  op, which reliably predict long term outcomes. Logically, the earlier patients at risk of problems are identified, the more  chance there is to provide interventions which reduce the negative impact of them (Williams et al, 2013).  Purpose: This study is aiming to identify whether variables at day of discharge and 3-weeks post TKA predict  outcomes at 1 year post-operatively.   Methods: 200 patients will be consented at their pre-operative appointment and then seen on their day of discharge  from Hospital following Primary Total Knee Arthroplasty to complete the Outcome Measures Booklet. They will be given  an extra copy with to take home with them. At 3-weeks post-opÍ¾ the patient will be phoned to remind them to return the  booklet.   At 12-months, the patient will be sent the booklet for a final time via the post with a SAE.  Outcomes: The main aim is to determine whether patient reported outcomes at day of discharge and 3-weeks post  TKA predict outcomes at 12-months post-operatively.",Primary Total Knee Arthroplasty or Uni-compartmental Knee Arthroplasty for Osteoarthritis only  Age over 55 years old
Arthrosis,Osteoarthritis Thumb Therapy trial. A randomised controlled trial into the effectiveness and efficacy of splints in thumb base osteoarthritis.,"Symptomatic thumb base OA affects 20% of the population over 55 years, causing more pain, work disability, reduced  quality of life and function than OA elsewhere in the hand. International experts recommend splinting for hand OA but  there is limited evidence from robust trials to support this.    OTTER II is a multicentre, single blind, randomised controlled clinical effectiveness and efficacy trial. Occupational  therapy and physiotherapy centres in England will recruit participants aged 30 years and over with clinical thumb base  OA. People with symptomatic thumb base OA and moderate to severe thumb base pain will be allocated to either 8  weeks of self-managementÍ¾ 8 weeks of self-management plus a verum splint, or 8 weeks of self-management plus a  sham splint. Follow up will be for 12 weeks from baseline.The primary outcome is the AUSCAN hand pain scale. The  study end point is 8 weeks. Outcomes will be collected at baselineÍ¾ 4 weeksÍ¾ 8 weeksÍ¾ and 12 weeks. Findings will  improve the management of thumb base OA and add to understanding contextual aspects of rehabilitation and selfmanagement  strategies for OA.    The study design builds on experience of conducting the OTTER pilot study and the practical implications for  supporting clinicians across the UK to recruit into and deliver a fully powered randomised control effectiveness and  efficacy trial. This design is a straightforward pragmatic design that will be able to be supported by NHS out-patient  clinics and associated booking procedures throughout the NHS.  The study has been informed by patients and the public and is designed according to the recommendations for the  conduct of randomised controlled trials of osteoarthritis [63, 64].","Males and females aged 30 years and over  Â· At least moderate AUSCAN hand pain (AUSCAN Hand pain score >5) and functional hand disability  (AUSCAN hand functional disability score >9)  Â· Fulfilling clinical symptoms for thumb base OA, - thumb base pain, aching or stiffness, hard tissue  enlargement of the first carpometacarpal joint (CMCJ)Í¾ squaring of the thumb baseÍ¾ positive grind test.  Â· No other household member participating in the trial.  Â· Able to give written informed consent.  Â· Available to attend Occupational Therapy/Physiotherapy/Hand Therapy sessions."
Arthrosis,"Enhancing the credibility, usefulness and relevance of patient experience data in services for people with long-term  physical and mental health conditions using digital data capture and improved analysis of narrative data","Background: Information about the experience of patients when they use NHS services is already collected using  patient surveys. Staff often think these surveys are not useful, as people have to remember what they thought about a  service they used in the past. Collecting feedback using mobile phones or tablets straight after a service is used may  be better. Patients often write detailed comments about their experiences on surveys, but these are often not used as  staff cannot read through them all. Some services record patient stories to help staff improve services. However, there  has been little research on the best ways to collect, analyse, and use these sorts of data to best improve the NHS.    The study asks: can we make data about patient experience of NHS services easier to collect, and more useful, by  improving the way we analyse and present this data?    There are 4 parts to our study.  1 Can we improve collection of data to help people provide timely, personalised feedback on NHS services in ways  that are useful to staff?  We will talk to patients to find out their views on collection of data on patient experience. Working with patients, we will  design new and effective ways to collect data on patient experience, through writing, audio or video. We will talk to  health staff and their managers about how they would want this data presented so they can best use it.  2 Can we improve the analysis of patient comments and stories (so called ânarrative dataâ)?  We will use computer science methods (known as âtext-miningâ) to analyse patient comments and stories quickly and  effectively. We will see how patient comments and stories relate to other measures the NHS collects on quality, safety  and outcomes.  3 Can we design a toolkit that helps NHS staff collect, analyse and use data on patient experience?  Working alongside patients and staff, we will bring data together from our earlier work to help us design training,  guidance and computer tools to help patients and staff collect data, analyse it, and use it in ways that are useful and  make a difference to NHS services.  4 Does the introduction of the toolkit into the NHS improve collection, analysis and presentation of data on patient  experience?  We will get services to use the toolkit, and talk to patients and staff to see if the toolkit has made a difference in the way  that data on patient experience is collected, analysed,and used to improve NHS services for patients. We will see how  much time and effort staff have to put in to use the toolkit, which will help us understand the costs and benefits  involved.    The project will focus on two groups of patients: those with serious mental illness (such as schizophrenia), and those  with musculoskeletal conditions (such as arthritis). These groups are similar in some ways: they use lots of different  NHS services, face difficulties in seeing the same staff at different appointments, and can be at risk of harm when  services do not work well. However, these patients groups also differ in their age and the types of problems that they  face. By looking at both groups, we will be better able to understand how to improve patient experience in specific  groups of patients, and also how to make the results relevant to other patient groups across the NHS.    We will conduct the research in 3 sites: a rheumatology outpatient department in Salford, a community mental health  team in Manchester, and two general practices in the North West.","Staff participants will be drawn from:  i) clinical staff, managers and IT staff working within rheumatology outpatients in Salford Royal Foundation Trust,  ii) clinical staff, managers and IT staff working within a community mental health team within Manchester Mental  Health & Social Care Trust  iii) primary care staff in two general practices within Salford CCG.   Patient participants:  i) patients diagnosed with rheumatoid arthritis who attend the Rheumatology Outpatients department at SRFT.  ii) patients diagnosed with a serious mental illness living in the community who receive support from MMHSCT staff.  iii) patients with either a musculoskeletal condition or serious mental health problem attending one of 2 participating  primary care sites within Salford CCG.    Carer participants:  i) carers of service users suffering with MSK or SMI from one of the 3 sites listed above.  Participants will be over 18 yrs of age. There is no upper age limit.     The study does not have the capacity to focus specifically on people who are unable to speak or understand English  language. However, where possible, we will seek to include people who may have some difficulties communicating  (verbal or written) in English in order to consider issues faced for such people in giving feedback on their experiences  of services. This may require us to seek input from a translator for a small number of interviews, and we will seek to  accommodate this where applicable. We will take steps to include patients with disabilities wherever possible for  example, larger font patient information for the visually impaired or a live typed conversation option for the deaf  community."
Arthrosis,Skeletal Muscle and Adipose Cross Talk: Identifying novel mediators of inflammation and cellular metabolism.,"Lay title: The role of muscle and fat Cross Talk in joint damage    Background: Recent studies have shown that certain naturally occurring substances in the body can cause damage to our joints. These substances include ""adipokines"" that are released from joint fat tissue, and ""myokines"" that are released by joint skeletal muscle tissue. Several of these adipokines and myokines are thought to cause problems with the regulation of inflammation and metabolism, which in turn can contribute to joint damage in conditions such as osteoarthritis (OA).    Aim of the study: We will examine the interaction, also called ""cross-talk"", between muscle, fat and joint tissue from patients undergoing orthopaedic surgery in order to identify new targets for therapeutic intervention.    Study design: We will recruit a total of 1256 patients aged 35-85 who are undergoing orthopaedic surgery who are either normal weight, overweight or obese and either male or female who have different anatomical arthritis.    We will compare the groups for the following outcome measures: Height and weight, waist and hip circumference, blood pressure (physical assessment); Inflammation (blood test); body's response to sugar and insulin (metabolic blood test); Joint damage (physical assessment, routine x-ray, blood test); Function of adipokines and myokines (tissue analysis); Cross-talk between muscle, fat and joint tissue, and its impact on the joint (tissue analysis).    Outcome: We will determine the role of adipokines and myokines in controlling inflammation and metabolism, and in causing damage to the joint. By identifying how the cross-talk between muscle, fat and joint tissue affect the joint, we could identify a site of action for a drug (called a drug target) to prevent or slow down the progression of joint damage","Patients (male or female) who are undergoing elective orthopaedic surgery (age 35 - 85) on their knee, hip, spine, hand and wrist, shoulder, elbow, ankle and foot."
